txn_id,date,description,category,type,amount,balance
TXN01034,2024-01-01,IMPS CREDIT,TRANSFER_IN,credit,2525.4,29457.15
TXN01028,2024-01-01,HP PETROL PUMP,FUEL,debit,539.09,29088.42
TXN01015,2024-01-02,BLINKIT,GROCERY,debit,2647.43,60621.7
TXN01037,2024-01-03,NEFT TRANSFER SENT,TRANSFER_OUT,debit,12333.16,500.0
TXN01017,2024-01-03,SWIGGY DELIVERY,RESTAURANT,debit,2291.44,56727.27
TXN01031,2024-01-03,ATM WITHDRAWAL SBI,ATM_WITHDRAW,debit,8170.16,15840.32
TXN01011,2024-01-03,RELIANCE FRESH,GROCERY,debit,3121.84,69274.44
TXN01004,2024-01-04,VI MONTHLY PLAN,MOBILE_BILL,debit,370.43,78144.14
TXN01022,2024-01-04,MYNTRA SHOPPING,SHOPPING,debit,4984.25,44336.53
TXN01006,2024-01-06,LIC PREMIUM,INSURANCE,debit,1502.73,76464.2
TXN01019,2024-01-06,SWIGGY DELIVERY,RESTAURANT,debit,678.27,54111.67
TXN01000,2024-01-07,SALARY TRF,SALARY,credit,52965.43,102965.43
TXN01016,2024-01-07,RESTAURANT PAYMENT UPI,RESTAURANT,debit,1602.99,59018.71
TXN01002,2024-01-07,CAR LOAN EMI ICICI,EMI_LOAN,debit,8722.92,79903.44
TXN01018,2024-01-08,SWIGGY DELIVERY,RESTAURANT,debit,1937.33,54789.94
TXN01023,2024-01-08,AMAZON PURCHASE,SHOPPING,debit,4778.33,39558.2
TXN01027,2024-01-09,HP PETROL PUMP,FUEL,debit,1240.68,29627.51
TXN01033,2024-01-09,UPI MONEY RECEIVED,TRANSFER_IN,credit,15959.16,26931.75
TXN01012,2024-01-09,BLINKIT,GROCERY,debit,975.64,68298.8
TXN01032,2024-01-10,ATM WITHDRAWAL SBI,ATM_WITHDRAW,debit,4867.73,10972.59
TXN01001,2024-01-11,RENT TRANSFER NEFT,RENT,debit,14339.07,88626.36
TXN01003,2024-01-11,BESCOM ELECTRICITY BILL,ELECTRICITY,debit,1388.87,78514.57
TXN01030,2024-01-11,ATM WITHDRAWAL AXIS,ATM_WITHDRAW,debit,3590.74,24010.48
TXN01021,2024-01-12,SWIGGY DELIVERY,RESTAURANT,debit,2360.85,49320.78
TXN01010,2024-01-12,BIG BAZAAR,GROCERY,debit,2188.43,72396.28
TXN01036,2024-01-12,IMPS DEBIT,TRANSFER_OUT,debit,16301.38,4351.37
TXN01025,2024-01-18,FLIPKART ORDER,SHOPPING,debit,4547.69,32070.53
TXN01005,2024-01-22,AMAZON PRIME,OTT_SUBS,debit,177.21,77966.93
TXN01029,2024-01-24,BPCL FUEL PAYMENT,FUEL,debit,1487.2,27601.22
TXN01013,2024-01-25,DMART PURCHASE,GROCERY,debit,3407.21,64891.59
TXN01007,2024-01-25,IRCTC REFUND,REFUND,credit,1086.32,77550.52
TXN01026,2024-01-25,HP PETROL PUMP,FUEL,debit,1202.34,30868.19
TXN01014,2024-01-26,RELIANCE FRESH,GROCERY,debit,1622.46,63269.13
TXN01009,2024-01-28,ZEPTO ORDER,GROCERY,debit,1789.18,74584.71
TXN01020,2024-01-29,SWIGGY DELIVERY,RESTAURANT,debit,2430.04,51681.63
TXN01024,2024-01-30,AMAZON PURCHASE,SHOPPING,debit,2939.98,36618.22
TXN01035,2024-01-30,IMPS DEBIT,TRANSFER_OUT,debit,8804.4,20652.75
TXN01008,2024-01-31,BLINKIT,GROCERY,debit,1176.63,76373.89
TXN01064,2024-02-01,INDIAN OIL FUEL,FUEL,debit,2085.88,500.0
TXN01070,2024-02-01,PRACTO CONSULTATION,MEDICAL,debit,1630.38,500.0
TXN01075,2024-02-01,IMPS DEBIT,TRANSFER_OUT,debit,10541.73,500.0
TXN01065,2024-02-02,INDIAN OIL FUEL,FUEL,debit,1827.34,500.0
TXN01044,2024-02-04,HEALTH INSURANCE BAJAJ,INSURANCE,debit,4676.48,23444.29
TXN01039,2024-02-05,RENT TRANSFER NEFT,RENT,debit,13683.83,38948.62
TXN01061,2024-02-05,AMAZON PURCHASE,SHOPPING,debit,2636.3,500.0
TXN01066,2024-02-06,BPCL FUEL PAYMENT,FUEL,debit,1105.14,500.0
